tier,ps,ki,incident_id,field,comparison,extracted,ground_truth
Haiku,PS1,KI1,2026-04-08-347d,ai_system.deployer,hallucinated,Alexis Martínez-Arizala,not stated
Haiku,PS1,KI1,2026-04-08-347d,event.event_location,correct,"Florida, United States; apprehended in Puerto Rico","Florida, United States"
Haiku,PS1,KI1,2026-04-08-347d,harm.affected_parties,incorrect,"Law enforcement officers, Two Black men depicted in the video, Police resources","law enforcement, general public"
Haiku,PS1,KI1,2026-04-08-99e2,event.event_type,incorrect,API Security Incidents,AI incident
Haiku,PS1,KI1,2026-04-08-99e2,ai_system.system_type,incorrect,Autonomous AI agents,ai agent
Haiku,PS1,KI1,2026-04-08-99e2,harm.harm_type,incorrect,"API security breaches, exposure of vulnerabilities and operational threats","economic, reputational"
Haiku,PS1,KI1,2026-04-08-99e2,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-08-99e2,event.event_date,correct,2026-04-08,2026-04-08
Haiku,PS1,KI1,2026-04-08-99e2,ai_system.name,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-08-99e2,ai_system.developer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-08-99e2,ai_system.deployer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-08-99e2,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-08-99e2,harm.affected_parties,incorrect,32% of organizations,organizations using AI agents
Haiku,PS1,KI1,2026-04-07-8e86,event.event_type,incorrect,Source code leak and restricted model release,AI incident
Haiku,PS1,KI1,2026-04-07-8e86,ai_system.system_type,incorrect,"AI system, AI model",generative AI
Haiku,PS1,KI1,2026-04-07-8e86,harm.harm_type,incorrect,"Source code exposure, Potential cybersecurity threats, Misuse by malicious actors","economic, reputational"
Haiku,PS1,KI1,2026-04-07-8e86,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-07-8e86,event.event_date,correct,2026-04-07,2026-04-07
Haiku,PS1,KI1,2026-04-07-8e86,ai_system.name,correct,"Claude Code, Claude Mythos Preview","Claude Code, Claude Mythos Preview"
Haiku,PS1,KI1,2026-04-07-8e86,ai_system.developer,correct,Anthropic,Anthropic
Haiku,PS1,KI1,2026-04-07-8e86,ai_system.deployer,correct,Anthropic,Anthropic
Haiku,PS1,KI1,2026-04-07-8e86,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-07-8e86,harm.affected_parties,correct,"Anthropic, Malicious actors","Anthropic, software industry"
Haiku,PS1,KI1,2026-04-07-8b71,event.event_type,incorrect,Phishing-as-a-Service platform using AI,AI incident
Haiku,PS1,KI1,2026-04-07-8b71,ai_system.system_type,incorrect,Large language models for phishing automation and personalization,generative AI
Haiku,PS1,KI1,2026-04-07-8b71,harm.harm_type,incorrect,"Account compromise, data exfiltration, financial harm, security harm, evasion of detection",economic
Haiku,PS1,KI1,2026-04-07-8b71,harm.severity,incorrect,High,severe
Haiku,PS1,KI1,2026-04-07-8b71,event.event_date,correct,2026-04-07,2026-04-07
Haiku,PS1,KI1,2026-04-07-8b71,ai_system.name,correct,EvilTokens,EvilTokens
Haiku,PS1,KI1,2026-04-07-8b71,ai_system.developer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-07-8b71,ai_system.deployer,hallucinated,Cybercriminals,not stated
Haiku,PS1,KI1,2026-04-07-8b71,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-07-8b71,harm.affected_parties,correct,"Microsoft account holders, businesses, global organizations","Microsoft account holders, businesses"
Haiku,PS1,KI1,2026-04-07-41ba,event.event_type,incorrect,Wrongful arrest due to faulty facial recognition,AI incident
Haiku,PS1,KI1,2026-04-07-41ba,ai_system.system_type,incorrect,Facial recognition system,facial recognition
Haiku,PS1,KI1,2026-04-07-41ba,harm.harm_type,incorrect,"False arrest, wrongful detention, physical injury, violation of civil rights","rights violation, psychological, physical"
Haiku,PS1,KI1,2026-04-07-41ba,harm.severity,incorrect,High,severe
Haiku,PS1,KI1,2026-04-07-41ba,event.event_date,correct,2026-04-07,2026-04-07
Haiku,PS1,KI1,2026-04-07-41ba,ai_system.name,hallucinated,Casino facial recognition AI,not stated
Haiku,PS1,KI1,2026-04-07-41ba,ai_system.developer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-07-41ba,ai_system.deployer,incorrect,Casino operators,Reno Police Department
Haiku,PS1,KI1,2026-04-07-41ba,event.event_location,correct,"Reno, Nevada, United States","Reno, Nevada, United States"
Haiku,PS1,KI1,2026-04-07-41ba,harm.affected_parties,incorrect,"Jason Killinger (plaintiff), Thousands of individuals arrested based on faulty matches","Jason Killinger, general public"
Haiku,PS1,KI1,2026-04-07-8255,event.event_type,incorrect,Multiple incidents: user suicide linked to AI chatbot and large-scale misinformation generation,AI incident
Haiku,PS1,KI1,2026-04-07-8255,ai_system.system_type,incorrect,AI chatbot and search summary system,chatbot
Haiku,PS1,KI1,2026-04-07-8255,harm.harm_type,incorrect,"User suicide, Misinformation generation, Mental health harm","psychological, physical"
Haiku,PS1,KI1,2026-04-07-8255,harm.severity,incorrect,Critical,severe
Haiku,PS1,KI1,2026-04-07-8255,event.event_date,correct,2026-04-07,2026-04-07
Haiku,PS1,KI1,2026-04-07-8255,ai_system.name,correct,Google Gemini,Gemini
Haiku,PS1,KI1,2026-04-07-8255,ai_system.developer,correct,Google,Google
Haiku,PS1,KI1,2026-04-07-8255,ai_system.deployer,correct,Google,Google
Haiku,PS1,KI1,2026-04-07-8255,event.event_location,correct,"United States, Florida","Florida, United States"
Haiku,PS1,KI1,2026-04-07-8255,harm.affected_parties,correct,"Users of Gemini chatbot, Search users receiving Gemini-powered summaries, General public exposed to misinformation",general public
Haiku,PS1,KI1,2026-04-07-1215,event.event_type,incorrect,AI-driven job displacement,AI incident
Haiku,PS1,KI1,2026-04-07-1215,ai_system.system_type,incorrect,Job automation systems,other
Haiku,PS1,KI1,2026-04-07-1215,harm.harm_type,correct,"Economic harm, income inequality, delayed home ownership, reduced marriage likelihood",economic
Haiku,PS1,KI1,2026-04-07-1215,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-07-1215,event.event_date,correct,2026-04-07,2026-04-07
Haiku,PS1,KI1,2026-04-07-1215,ai_system.name,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-07-1215,ai_system.developer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-07-1215,ai_system.deployer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-07-1215,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-07-1215,harm.affected_parties,incorrect,Millions of US workers across sectors,US workers displaced by AI
Haiku,PS1,KI1,2026-04-07-970a,event.event_type,incorrect,Security vulnerability discovery and safety concerns,AI hazard
Haiku,PS1,KI1,2026-04-07-970a,ai_system.system_type,incorrect,Advanced AI model,generative AI
Haiku,PS1,KI1,2026-04-07-970a,harm.harm_type,incorrect,"Potential misuse of vulnerability exploitation, safety protocol bypass",economic
Haiku,PS1,KI1,2026-04-07-970a,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-07-970a,event.event_date,correct,2026-04-07,2026-04-07
Haiku,PS1,KI1,2026-04-07-970a,ai_system.name,correct,Claude Mythos,Claude Mythos
Haiku,PS1,KI1,2026-04-07-970a,ai_system.developer,correct,Anthropic,Anthropic
Haiku,PS1,KI1,2026-04-07-970a,ai_system.deployer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-07-970a,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-07-970a,harm.affected_parties,missing,not stated,"software industry, general public"
Haiku,PS1,KI1,2026-04-06-73e5,event.event_type,incorrect,Autonomous deceptive and manipulative behavior by AI systems,AI hazard
Haiku,PS1,KI1,2026-04-06-73e5,ai_system.system_type,incorrect,Frontier AI models,generative AI
Haiku,PS1,KI1,2026-04-06-73e5,harm.harm_type,incorrect,"Deception, Manipulation, Undermining human oversight",other
Haiku,PS1,KI1,2026-04-06-73e5,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-06-73e5,event.event_date,correct,2026-04-06,2026-04-06
Haiku,PS1,KI1,2026-04-06-73e5,ai_system.name,correct,"GPT-5.2, Gemini 3 Pro","GPT-5.2, Gemini 3 Pro"
Haiku,PS1,KI1,2026-04-06-73e5,ai_system.developer,missing,not stated,"OpenAI, Google"
Haiku,PS1,KI1,2026-04-06-73e5,ai_system.deployer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-06-73e5,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-06-73e5,harm.affected_parties,incorrect,"AI systems, human oversight mechanisms","AI safety researchers, general public"
Haiku,PS1,KI1,2026-04-06-c1da,event.event_type,incorrect,AI-Generated Deepfakes Used in Investment Scams,AI incident
Haiku,PS1,KI1,2026-04-06-c1da,ai_system.system_type,incorrect,AI-generated deepfake technology (images and videos),generative AI
Haiku,PS1,KI1,2026-04-06-c1da,harm.harm_type,incorrect,"Financial fraud, investment scams, impersonation",economic
Haiku,PS1,KI1,2026-04-06-c1da,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-06-c1da,event.event_date,correct,2026-04-06,2026-04-06
Haiku,PS1,KI1,2026-04-06-c1da,ai_system.name,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-06-c1da,ai_system.developer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-06-c1da,ai_system.deployer,hallucinated,Scammers on Meta platforms,not stated
Haiku,PS1,KI1,2026-04-06-c1da,event.event_location,correct,"United States (Pennsylvania, New York, New Hampshire)","Pennsylvania, New York, New Hampshire, United States"
Haiku,PS1,KI1,2026-04-06-c1da,harm.affected_parties,incorrect,"Victims of investment scams, celebrities being impersonated",platform victims
Haiku,PS1,KI1,2026-04-06-5706,event.event_type,incorrect,Aircraft crash,AI incident
Haiku,PS1,KI1,2026-04-06-5706,ai_system.system_type,incorrect,AI-enabled semi-autonomous combat drone control system,autonomous vehicle
Haiku,PS1,KI1,2026-04-06-5706,harm.harm_type,incorrect,"Equipment damage, operational disruption","economic, reputational"
Haiku,PS1,KI1,2026-04-06-5706,harm.severity,incorrect,Low,moderate
Haiku,PS1,KI1,2026-04-06-5706,event.event_date,correct,2026-04-06,2026-04-06
Haiku,PS1,KI1,2026-04-06-5706,ai_system.name,hallucinated,YFQ-42A Dark Merlin AI system,not stated
Haiku,PS1,KI1,2026-04-06-5706,ai_system.developer,correct,General Atomics,General Atomics
Haiku,PS1,KI1,2026-04-06-5706,ai_system.deployer,incorrect,United States Air Force,US Air Force
Haiku,PS1,KI1,2026-04-06-5706,event.event_location,correct,"California, United States","California, United States"
Haiku,PS1,KI1,2026-04-06-5706,harm.affected_parties,correct,"United States Air Force, General Atomics",US Air Force
Haiku,PS1,KI1,2026-04-06-843a,event.event_type,incorrect,Safety investigation closure,AI incident
Haiku,PS1,KI1,2026-04-06-843a,ai_system.system_type,incorrect,Autonomous vehicle feature,autonomous vehicle
Haiku,PS1,KI1,2026-04-06-843a,harm.harm_type,incorrect,Property damage,economic
Haiku,PS1,KI1,2026-04-06-843a,harm.severity,correct,Minor,minor
Haiku,PS1,KI1,2026-04-06-843a,event.event_date,correct,2026-04-06,2026-04-06
Haiku,PS1,KI1,2026-04-06-843a,ai_system.name,correct,actually smart summon,Actually Smart Summon
Haiku,PS1,KI1,2026-04-06-843a,ai_system.developer,correct,Tesla,Tesla
Haiku,PS1,KI1,2026-04-06-843a,ai_system.deployer,correct,Tesla,Tesla
Haiku,PS1,KI1,2026-04-06-843a,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-06-843a,harm.affected_parties,correct,Vehicle owners,Tesla vehicle owners
Haiku,PS1,KI1,2026-04-06-58f7,event.event_type,incorrect,Data scraping and copyright violation,AI incident
Haiku,PS1,KI1,2026-04-06-58f7,ai_system.system_type,incorrect,AI model training dataset,generative AI
Haiku,PS1,KI1,2026-04-06-58f7,harm.harm_type,incorrect,"Copyright infringement, intellectual property violation",rights violation
Haiku,PS1,KI1,2026-04-06-58f7,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-06-58f7,event.event_date,correct,2026-04-06,2026-04-06
Haiku,PS1,KI1,2026-04-06-58f7,ai_system.name,hallucinated,Panda-70M,not stated
Haiku,PS1,KI1,2026-04-06-58f7,ai_system.developer,correct,Apple Inc.,Apple
Haiku,PS1,KI1,2026-04-06-58f7,ai_system.deployer,missing,not stated,Apple
Haiku,PS1,KI1,2026-04-06-58f7,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-06-58f7,harm.affected_parties,incorrect,"YouTube creators, Apple Inc.",YouTubers
Haiku,PS1,KI1,2026-04-06-bee5,event.event_type,incorrect,Economic impact / Job displacement,AI incident
Haiku,PS1,KI1,2026-04-06-bee5,ai_system.system_type,incorrect,Large language model / Conversational AI,other
Haiku,PS1,KI1,2026-04-06-bee5,harm.harm_type,incorrect,Economic harm / Job loss / Unemployment,"economic, psychological"
Haiku,PS1,KI1,2026-04-06-bee5,harm.severity,incorrect,Moderate,significant
Haiku,PS1,KI1,2026-04-06-bee5,event.event_date,correct,2026-04-06,2026-04-06
Haiku,PS1,KI1,2026-04-06-bee5,ai_system.name,hallucinated,ChatGPT,not stated
Haiku,PS1,KI1,2026-04-06-bee5,ai_system.developer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-06-bee5,ai_system.deployer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-06-bee5,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-06-bee5,harm.affected_parties,correct,"Entry-level workers, less experienced workers, call center employees, claims processing workers",entry-level and less experienced US workers
Haiku,PS1,KI1,2026-04-06-82d9,event.event_type,incorrect,Mass shooting,AI incident
Haiku,PS1,KI1,2026-04-06-82d9,ai_system.system_type,correct,Chatbot,chatbot
Haiku,PS1,KI1,2026-04-06-82d9,harm.harm_type,incorrect,"Mass shooting, deaths, injuries",physical
Haiku,PS1,KI1,2026-04-06-82d9,harm.severity,incorrect,Critical,severe
Haiku,PS1,KI1,2026-04-06-82d9,event.event_date,incorrect,April 2025,2026-04-06
Haiku,PS1,KI1,2026-04-06-82d9,ai_system.name,correct,ChatGPT,ChatGPT
Haiku,PS1,KI1,2026-04-06-82d9,ai_system.developer,correct,OpenAI,OpenAI
Haiku,PS1,KI1,2026-04-06-82d9,ai_system.deployer,missing,not stated,OpenAI
Haiku,PS1,KI1,2026-04-06-82d9,event.event_location,correct,"Florida State University, Tallahassee, Florida, United States","Tallahassee, Florida, United States"
Haiku,PS1,KI1,2026-04-06-82d9,harm.affected_parties,incorrect,"Victims of the shooting, victims' families",victims of the Florida State University shooting
Haiku,PS1,KI1,2026-04-06-3356,event.event_type,incorrect,Privacy violation / Unauthorized data sharing,AI incident
Haiku,PS1,KI1,2026-04-06-3356,ai_system.system_type,incorrect,Conversational AI / Search engine,chatbot
Haiku,PS1,KI1,2026-04-06-3356,harm.harm_type,incorrect,"Privacy violation, unauthorized data sharing, data protection rights violation",rights violation
Haiku,PS1,KI1,2026-04-06-3356,harm.severity,missing,not stated,severe
Haiku,PS1,KI1,2026-04-06-3356,event.event_date,correct,2026-04-06,2026-04-06
Haiku,PS1,KI1,2026-04-06-3356,ai_system.name,correct,Perplexity AI,Perplexity AI
Haiku,PS1,KI1,2026-04-06-3356,ai_system.developer,correct,Perplexity,Perplexity AI
Haiku,PS1,KI1,2026-04-06-3356,ai_system.deployer,correct,Perplexity,Perplexity AI
Haiku,PS1,KI1,2026-04-06-3356,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-06-3356,harm.affected_parties,correct,Perplexity AI users,Perplexity AI users
Haiku,PS1,KI1,2026-04-06-1282,event.event_type,incorrect,Unauthorized Model Distillation / Intellectual Property Theft,AI hazard
Haiku,PS1,KI1,2026-04-06-1282,ai_system.system_type,incorrect,Advanced AI models,generative AI
Haiku,PS1,KI1,2026-04-06-1282,harm.harm_type,incorrect,"Intellectual property theft, Economic losses, National security risks","economic, rights violation"
Haiku,PS1,KI1,2026-04-06-1282,harm.severity,missing,not stated,moderate
Haiku,PS1,KI1,2026-04-06-1282,event.event_date,correct,2026-04-06,2026-04-06
Haiku,PS1,KI1,2026-04-06-1282,ai_system.name,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-06-1282,ai_system.developer,hallucinated,"OpenAI, Anthropic, Google",not stated
Haiku,PS1,KI1,2026-04-06-1282,ai_system.deployer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-06-1282,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-06-1282,harm.affected_parties,incorrect,"OpenAI, Anthropic, Google, United States",US AI companies
Haiku,PS1,KI1,2026-04-05-ba1e,event.event_type,incorrect,Content scraping by AI bots,AI incident
Haiku,PS1,KI1,2026-04-05-ba1e,ai_system.system_type,incorrect,"AI bots, web crawlers",other
Haiku,PS1,KI1,2026-04-05-ba1e,harm.harm_type,correct,"Economic harm, revenue loss, traffic decline, threat to journalism sustainability",economic
Haiku,PS1,KI1,2026-04-05-ba1e,harm.severity,missing,not stated,significant
Haiku,PS1,KI1,2026-04-05-ba1e,event.event_date,correct,2026-04-05,2026-04-05
Haiku,PS1,KI1,2026-04-05-ba1e,ai_system.name,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-05-ba1e,ai_system.developer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-05-ba1e,ai_system.deployer,true_negative,not stated,not stated
Haiku,PS1,KI1,2026-04-05-ba1e,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-05-ba1e,harm.affected_parties,correct,"Digital publishers, publishing organizations",digital publishers
Haiku,PS1,KI1,2026-04-05-4167,event.event_type,incorrect,Liability shift for AI system errors,AI hazard
Haiku,PS1,KI1,2026-04-05-4167,ai_system.system_type,incorrect,Shopping assistant,ai agent
Haiku,PS1,KI1,2026-04-05-4167,harm.harm_type,incorrect,Financial harm from unauthorized or mistaken purchases,economic
Haiku,PS1,KI1,2026-04-05-4167,harm.severity,missing,not stated,moderate
Haiku,PS1,KI1,2026-04-05-4167,event.event_date,correct,2026-04-05,2026-04-05
Haiku,PS1,KI1,2026-04-05-4167,ai_system.name,hallucinated,Target AI shopping assistant,not stated
Haiku,PS1,KI1,2026-04-05-4167,ai_system.developer,correct,Google,Google
Haiku,PS1,KI1,2026-04-05-4167,ai_system.deployer,incorrect,Target Corporation,Google
Haiku,PS1,KI1,2026-04-05-4167,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-05-4167,harm.affected_parties,correct,Target customers,Target customers
Haiku,PS1,KI1,2026-04-05-a12c,event.event_type,incorrect,Security vulnerability and system malfunction,AI incident
Haiku,PS1,KI1,2026-04-05-a12c,ai_system.system_type,incorrect,Code generation AI system,generative AI
Haiku,PS1,KI1,2026-04-05-a12c,harm.harm_type,incorrect,"Security vulnerability, credential theft, software supply chain compromise, loss of AI control","economic, rights violation"
Haiku,PS1,KI1,2026-04-05-a12c,harm.severity,incorrect,Critical,significant
Haiku,PS1,KI1,2026-04-05-a12c,event.event_date,correct,2026-04-05,2026-04-05
Haiku,PS1,KI1,2026-04-05-a12c,ai_system.name,correct,Claude Code,Claude Code
Haiku,PS1,KI1,2026-04-05-a12c,ai_system.developer,correct,Anthropic,Anthropic
Haiku,PS1,KI1,2026-04-05-a12c,ai_system.deployer,missing,not stated,Anthropic
Haiku,PS1,KI1,2026-04-05-a12c,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-05-a12c,harm.affected_parties,incorrect,"Users including AMD's AI director, software supply chain","developers, organizations using Claude Code"
Haiku,PS1,KI1,2026-04-05-2282,event.event_type,incorrect,AI System Behavior - Sycophancy and Misinformation Reinforcement,AI incident
Haiku,PS1,KI1,2026-04-05-2282,ai_system.system_type,correct,Chatbot,chatbot
Haiku,PS1,KI1,2026-04-05-2282,harm.harm_type,correct,"Psychological harm, Misinformation reinforcement, Suicides, Irresponsible decisions, Delusion spiral",psychological
Haiku,PS1,KI1,2026-04-05-2282,harm.severity,incorrect,High,severe
Haiku,PS1,KI1,2026-04-05-2282,event.event_date,correct,2026-04-05,2026-04-05
Haiku,PS1,KI1,2026-04-05-2282,ai_system.name,correct,"ChatGPT, Claude, Gemini","ChatGPT, Claude, Gemini"
Haiku,PS1,KI1,2026-04-05-2282,ai_system.developer,missing,not stated,"OpenAI, Anthropic, Google"
Haiku,PS1,KI1,2026-04-05-2282,ai_system.deployer,missing,not stated,"OpenAI, Anthropic, Google"
Haiku,PS1,KI1,2026-04-05-2282,event.event_location,correct,United States,United States
Haiku,PS1,KI1,2026-04-05-2282,harm.affected_parties,incorrect,"Global users, Individuals with false or harmful beliefs",chatbot users
Haiku,PS1,KI1,2026-04-05-a12d,event.event_type,incorrect,Misinformation/Disinformation,AI incident
Haiku,PS1,KI1,2026-04-05-a12d,ai_system.system_type,incorrect,Image generation,generative AI
Haiku,PS1,KI1,2026-04-05-a12d,harm.harm_type,incorrect,"Misinformation, Public deception",reputational
